seasonId,playerId,goalieFullName,lastName,teamAbbrev,shootsCatches,gamesPlayed,gamesStarted,starts_pct,toi_total_sec,toi_total_min,toi_pg_sec,toi_pg_min,shotsAgainst,saves,goalsAgainst,shutouts,wins,losses,otLosses,save_pct_calc,gaa_calc,shots_against_pg,saves_pg,goals_against_pg,win_pct,shots_against_per_60,saves_per_60,penaltyMinutes,assists
20252026,8475852,Petr Mrazek,Mrazek,ANA,L,10,8,0.8,30953,515.8833333333333,3095.3,51.58833333333334,247,212,35,0,3,5,0,0.8582995951417004,4.070687817012891,24.7,21.2,3.5,0.3,28.72742545149097,24.65673763447808,0,0
20252026,8480193,Daniil Tarasov,Tarasov,FLA,L,33,31,0.9393939393939394,114340,1905.6666666666667,3464.848484848485,57.74747474747475,925,828,97,0,13,15,3,0.8951351351351351,3.054049326569879,28.03030303030303,25.09090909090909,2.9393939393939394,0.3939393939393939,29.123666258527198,26.06961693195732,0,0
20252026,8482661,Jesper Wallstedt,Wallstedt,MIN,L,35,33,0.9428571428571428,119799,1996.65,3422.8285714285716,57.04714285714286,1020,934,87,4,18,9,6,0.9156862745098039,2.6143790849673203,29.142857142857142,26.685714285714287,2.4857142857142858,0.5142857142857142,30.65134099616858,28.067012245511233,2,1
20252026,8479496,David Rittich,Rittich,NYI,L,30,28,0.9333333333333333,99081,1651.35,3302.7,55.044999999999995,720,644,76,2,14,10,3,0.8944444444444445,2.7613770551367063,24.0,21.466666666666665,2.533333333333333,0.4666666666666667,26.160414206558272,23.399037151421563,0,0
20252026,8475683,Sergei Bobrovsky,Bobrovsky,FLA,L,52,51,0.9807692307692307,180579,3009.65,3472.673076923077,57.877884615384616,1250,1096,154,4,27,23,1,0.8768,3.0701244330736133,24.03846153846154,21.076923076923077,2.9615384615384617,0.5192307692307693,24.91984117754556,21.849716744471948,9,2
20252026,8475660,Cam Talbot,Talbot,DET,L,34,25,0.7352941176470589,105011,1750.1833333333334,3088.5588235294117,51.47598039215686,797,704,93,0,12,9,6,0.8833124215809285,3.1882374227461887,23.441176470588236,20.705882352941178,2.735294117647059,0.35294117647058826,27.322851891706584,24.134614468960393,0,1
20252026,8481033,Akira Schmid,Schmid,VGK,L,34,29,0.8529411764705882,117947,1965.7833333333333,3469.029411764706,57.8171568627451,791,706,85,2,16,10,6,0.8925410872313527,2.5943856138774195,23.264705882352942,20.764705882352942,2.5,0.47058823529411764,24.14304730090634,21.54866168702892,0,1
20252026,8476883,Andrei Vasilevskiy,Vasilevskiy,TBL,L,58,58,1.0,205845,3430.75,3549.051724137931,59.150862068965516,1483,1353,132,2,39,15,4,0.9123398516520567,2.3085331195802667,25.56896551724138,23.32758620689655,2.2758620689655173,0.6724137931034483,25.936019820738906,23.662464475697735,11,2
20252026,8479406,Filip Gustavsson,Gustavsson,MIN,L,50,49,0.98,178075,2967.9166666666665,3561.5,59.358333333333334,1377,1245,133,4,28,15,6,0.9041394335511983,2.6887547381721184,27.54,24.9,2.66,0.56,27.837708830548927,25.169170293415696,0,2
20252026,8476914,Joonas Korpisalo,Korpisalo,BOS,L,31,28,0.9032258064516129,102785,1713.0833333333333,3315.6451612903224,55.26075268817204,851,761,90,1,14,9,6,0.8942420681551116,3.1522109257187334,27.451612903225808,24.548387096774192,2.903225806451613,0.45161290322580644,29.80590553096269,26.653694605243956,2,0
20252026,8476932,Anthony Stolarz,Stolarz,TOR,L,26,25,0.9615384615384616,83355,1389.25,3205.9615384615386,53.43269230769231,708,632,76,0,10,10,3,0.8926553672316384,3.2823465898866293,27.23076923076923,24.307692307692307,2.923076923076923,0.38461538461538464,30.577649811049127,27.2953032211625,2,0
20252026,8482821,Arvid Soderblom,Soderblom,CHI,L,26,24,0.9230769230769231,88117,1468.6166666666666,3389.1153846153848,56.48525641025641,774,681,93,1,8,13,3,0.8798449612403101,3.799493854761283,29.76923076923077,26.192307692307693,3.576923076923077,0.3076923076923077,31.62159401704552,27.822100162284237,4,0
20252026,8480981,Joel Hofer,Hofer,STL,L,46,43,0.9347826086956522,157479,2624.65,3423.4565217391305,57.05760869565218,1250,1137,114,6,24,13,5,0.9096,2.606061760615701,27.17391304347826,24.717391304347824,2.4782608695652173,0.5217391304347826,28.575238603242337,25.99203703350923,4,0
20252026,8479312,Alex Lyon,Lyon,BUF,L,36,34,0.9444444444444444,119521,1992.0166666666667,3320.027777777778,55.3337962962963,979,888,92,3,20,10,4,0.9070480081716037,2.7710611524334636,27.194444444444443,24.666666666666668,2.5555555555555554,0.5555555555555556,29.487705089482183,26.746764166966475,4,1
20252026,8478024,Ville Husso,Husso,ANA,L,20,19,0.95,68738,1145.6333333333334,3436.9,57.281666666666666,534,472,62,0,10,8,2,0.8838951310861424,3.247112223224417,26.7,23.6,3.1,0.5,27.967063341965144,24.719951118740724,2,0
20252026,8478916,Joey Daccord,Daccord,SEA,L,47,46,0.9787234042553191,161593,2693.2166666666667,3438.148936170213,57.30248226950355,1307,1173,136,2,20,20,6,0.8974751338944147,3.029834213115667,27.80851063829787,24.95744680851064,2.893617021276596,0.425531914893617,29.1175979157513,26.13232008812263,4,3
20252026,8482445,Devin Cooley,Cooley,CGY,L,31,26,0.8387096774193549,103080,1718.0,3325.1612903225805,55.41935483870967,847,770,77,0,10,10,6,0.9090909090909091,2.689173457508731,27.322580645161292,24.838709677419356,2.4838709677419355,0.3225806451612903,29.580908032596042,26.891734575087312,2,1
20252026,8477992,Jonas Johansson,Johansson,TBL,L,25,23,0.92,85411,1423.5166666666667,3416.44,56.940666666666665,670,592,78,0,11,10,2,0.8835820895522388,3.287632740513517,26.8,23.68,3.12,0.44,28.239922258257135,24.952289517743615,0,0
20252026,8476341,Anton Forsberg,Forsberg,LAK,L,36,31,0.8611111111111112,121926,2032.1,3386.8333333333335,56.44722222222222,952,866,87,3,16,12,5,0.9096638655462185,2.5687712218886865,26.444444444444443,24.055555555555557,2.4166666666666665,0.4444444444444444,28.10885291078195,25.569607794891983,4,0
20252026,8478406,Mackenzie Blackwood,Blackwood,COL,L,39,36,0.9230769230769231,129341,2155.6833333333334,3316.4358974358975,55.273931623931624,933,843,90,3,23,10,2,0.9035369774919614,2.5050061465428595,23.923076923076923,21.615384615384617,2.3076923076923075,0.5897435897435898,25.96856371916098,23.463557572618118,0,0
20252026,8480843,Lukas Dostal,Dostal,ANA,L,56,55,0.9821428571428571,196076,3267.9333333333334,3501.3571428571427,58.35595238095238,1513,1344,169,0,30,20,4,0.8883013879709187,3.1028784756930987,27.017857142857142,24.0,3.017857142857143,0.5357142857142857,27.779024459903304,24.676145984210205,8,1
20252026,8480313,Logan Thompson,Thompson,WSH,R,58,58,1.0,206703,3445.05,3563.844827586207,59.397413793103446,1587,1447,140,4,31,21,6,0.9117832388153749,2.43828101188662,27.362068965517242,24.948275862068964,2.413793103448276,0.5344827586206896,27.639656899029042,25.201375887142422,0,1
20252026,8481668,Arturs Silovs,Silovs,PIT,L,39,38,0.9743589743589743,134793,2246.55,3456.230769230769,57.60384615384615,1020,906,115,2,19,12,8,0.888235294117647,3.071376110035388,26.153846153846153,23.23076923076923,2.948717948717949,0.48717948717948717,27.241770715096482,24.197102223409228,4,3
20252026,8475717,Calvin Pickard,Pickard,EDM,L,16,13,0.8125,51848,864.1333333333333,3240.5,54.00833333333333,410,357,53,0,5,6,2,0.8707317073170732,3.679987656225891,25.625,22.3125,3.3125,0.3125,28.467829038728592,24.7878413825027,0,0
20252026,8474596,Jake Allen,Allen,NJD,L,37,36,0.972972972972973,131194,2186.5666666666666,3545.7837837837837,59.09639639639639,1031,932,100,1,17,17,2,0.903976721629486,2.744027928106468,27.864864864864863,25.18918918918919,2.7027027027027026,0.4594594594594595,28.29092793877769,25.574340289952286,0,1
20252026,8476945,Connor Hellebuyck,Hellebuyck,WPG,L,57,57,1.0,204087,3401.45,3580.4736842105262,59.67456140350877,1547,1385,162,0,23,23,11,0.8952811893988365,2.8576048449925766,27.140350877192983,24.29824561403509,2.8421052631578947,0.40350877192982454,27.288362316071087,24.43075747107851,4,0
20252026,8479292,Charlie Lindgren,Lindgren,WSH,R,21,20,0.9523809523809523,74762,1246.0333333333333,3560.095238095238,59.334920634920636,602,529,73,1,9,8,3,0.8787375415282392,3.51515475776464,28.666666666666668,25.19047619047619,3.4761904761904763,0.42857142857142855,28.987988550333057,25.472833792568416,8,1
20252026,8482137,Yaroslav Askarov,Askarov,SJS,R,47,47,1.0,155789,2596.483333333333,3314.659574468085,55.24432624113475,1341,1185,157,0,21,20,4,0.883668903803132,3.6279840040054174,28.53191489361702,25.21276595744681,3.3404255319148937,0.44680851063829785,30.98806719344755,27.38319136781159,2,0
20252026,8482487,Jakub Dobes,Dobes,MTL,L,43,42,0.9767441860465116,151535,2525.5833333333335,3524.0697674418607,58.73449612403101,1187,1070,117,0,29,10,4,0.9014321819713563,2.7795558781799583,27.6046511627907,24.88372093023256,2.7209302325581395,0.6744186046511628,28.19942587521035,25.41986999703039,2,0
20252026,8484170,Jacob Fowler,Fowler,MTL,L,17,17,1.0,60642,1010.7,3567.176470588235,59.45294117647059,448,407,41,1,9,6,2,0.9084821428571429,2.4339566636984267,26.352941176470587,23.941176470588236,2.411764705882353,0.5294117647058824,26.595428910655983,24.161472246957555,0,0
20252026,8482982,Jet Greaves,Greaves,CBJ,L,55,53,0.9636363636363636,196566,3276.1,3573.927272727273,59.56545454545455,1539,1397,142,2,26,19,9,0.907732293697206,2.6006532157138063,27.98181818181818,25.4,2.581818181818182,0.4727272727272727,28.18595280974329,25.585299594029486,0,1
